title,genre,rating,year,director,poster
Film_120,Romance,7.3,2021,Director_52,https://via.placeholder.com/300x450.png?text=Film_120
Film_121,Romance,8.1,2020,Director_98,https://via.placeholder.com/300x450.png?text=Film_121
Film_122,Sci-Fi,9.3,2024,Director_36,https://via.placeholder.com/300x450.png?text=Film_122
Film_123,Horror,5.4,2019,Director_26,https://via.placeholder.com/300x450.png?text=Film_123
Film_124,Thriller,7.8,2001,Director_60,https://via.placeholder.com/300x450.png?text=Film_124
Film_125,Sci-Fi,6.6,1996,Director_2,https://via.placeholder.com/300x450.png?text=Film_125
Film_126,Horror,7.1,2017,Director_62,https://via.placeholder.com/300x450.png?text=Film_126
Film_127,Horror,5.7,1993,Director_88,https://via.placeholder.com/300x450.png?text=Film_127
Film_128,Sci-Fi,9.2,2023,Director_99,https://via.placeholder.com/300x450.png?text=Film_128
Film_129,Horror,5.9,2022,Director_70,https://via.placeholder.com/300x450.png?text=Film_129
Film_130,Comedy,5.5,1996,Director_83,https://via.placeholder.com/300x450.png?text=Film_130
Film_131,Comedy,8.6,2003,Director_52,https://via.placeholder.com/300x450.png?text=Film_131
Film_132,Drama,7.1,2013,Director_80,https://via.placeholder.com/300x450.png?text=Film_132
Film_133,Thriller,6.9,2005,Director_77,https://via.placeholder.com/300x450.png?text=Film_133
Film_134,Horror,7.3,2000,Director_78,https://via.placeholder.com/300x450.png?text=Film_134
Film_135,Horror,5.5,2020,Director_19,https://via.placeholder.com/300x450.png?text=Film_135
Film_136,Drama,7.8,2008,Director_84,https://via.placeholder.com/300x450.png?text=Film_136
Film_137,Thriller,8.0,2021,Director_69,https://via.placeholder.com/300x450.png?text=Film_137
Film_138,Sci-Fi,6.5,2022,Director_22,https://via.placeholder.com/300x450.png?text=Film_138
Film_139,Thriller,5.1,2016,Director_16,https://via.placeholder.com/300x450.png?text=Film_139
Film_140,Romance,9.5,2004,Director_38,https://via.placeholder.com/300x450.png?text=Film_140
Film_141,Drama,8.1,2008,Director_68,https://via.placeholder.com/300x450.png?text=Film_141
Film_142,Thriller,5.1,1997,Director_59,https://via.placeholder.com/300x450.png?text=Film_142
Film_143,Action,5.6,2000,Director_95,https://via.placeholder.com/300x450.png?text=Film_143
Film_144,Horror,6.6,2009,Director_45,https://via.placeholder.com/300x450.png?text=Film_144
Film_145,Romance,8.3,2002,Director_24,https://via.placeholder.com/300x450.png?text=Film_145
Film_146,Horror,7.2,1996,Director_69,https://via.placeholder.com/300x450.png?text=Film_146
Film_147,Drama,8.0,1994,Director_87,https://via.placeholder.com/300x450.png?text=Film_147
Film_148,Comedy,7.3,2002,Director_13,https://via.placeholder.com/300x450.png?text=Film_148
Film_149,Horror,6.7,2001,Director_69,https://via.placeholder.com/300x450.png?text=Film_149
Film_150,Drama,7.2,2006,Director_46,https://via.placeholder.com/300x450.png?text=Film_150
Film_151,Thriller,7.6,2019,Director_96,https://via.placeholder.com/300x450.png?text=Film_151
Film_152,Thriller,8.1,1997,Director_21,https://via.placeholder.com/300x450.png?text=Film_152
Film_153,Drama,7.7,2022,Director_25,https://via.placeholder.com/300x450.png?text=Film_153
Film_154,Action,6.7,2003,Director_86,https://via.placeholder.com/300x450.png?text=Film_154
Film_155,Action,7.6,2013,Director_75,https://via.placeholder.com/300x450.png?text=Film_155
Film_156,Action,9.5,2005,Director_79,https://via.placeholder.com/300x450.png?text=Film_156
Film_157,Sci-Fi,6.2,2024,Director_86,https://via.placeholder.com/300x450.png?text=Film_157
Film_158,Action,5.4,1993,Director_87,https://via.placeholder.com/300x450.png?text=Film_158
Film_159,Action,7.0,2005,Director_46,https://via.placeholder.com/300x450.png?text=Film_159
Film_160,Comedy,7.1,2018,Director_23,https://via.placeholder.com/300x450.png?text=Film_160
Film_161,Romance,8.8,2005,Director_58,https://via.placeholder.com/300x450.png?text=Film_161
Film_162,Action,6.5,1992,Director_20,https://via.placeholder.com/300x450.png?text=Film_162
Film_163,Thriller,7.8,2005,Director_33,https://via.placeholder.com/300x450.png?text=Film_163
Film_164,Thriller,8.3,2013,Director_10,https://via.placeholder.com/300x450.png?text=Film_164
Film_165,Thriller,7.2,2018,Director_12,https://via.placeholder.com/300x450.png?text=Film_165
Film_166,Drama,9.0,1999,Director_75,https://via.placeholder.com/300x450.png?text=Film_166
Film_167,Thriller,8.6,2004,Director_37,https://via.placeholder.com/300x450.png?text=Film_167
Film_168,Drama,8.6,1991,Director_27,https://via.placeholder.com/300x450.png?text=Film_168
Film_169,Action,6.0,2001,Director_86,https://via.placeholder.com/300x450.png?text=Film_169
Film_170,Thriller,8.3,1990,Director_6,https://via.placeholder.com/300x450.png?text=Film_170
Film_171,Sci-Fi,9.1,2007,Director_65,https://via.placeholder.com/300x450.png?text=Film_171
Film_172,Romance,7.7,2020,Director_78,https://via.placeholder.com/300x450.png?text=Film_172
Film_173,Horror,7.5,2020,Director_5,https://via.placeholder.com/300x450.png?text=Film_173
Film_174,Romance,7.0,1997,Director_85,https://via.placeholder.com/300x450.png?text=Film_174
Film_175,Thriller,5.2,1994,Director_14,https://via.placeholder.com/300x450.png?text=Film_175
Film_176,Drama,7.3,2001,Director_91,https://via.placeholder.com/300x450.png?text=Film_176
Film_177,Thriller,7.6,2016,Director_16,https://via.placeholder.com/300x450.png?text=Film_177
Film_178,Horror,8.6,2005,Director_35,https://via.placeholder.com/300x450.png?text=Film_178
Film_179,Sci-Fi,5.2,1991,Director_71,https://via.placeholder.com/300x450.png?text=Film_179
Film_180,Action,5.7,1998,Director_78,https://via.placeholder.com/300x450.png?text=Film_180
Film_181,Action,7.5,2003,Director_87,https://via.placeholder.com/300x450.png?text=Film_181
Film_182,Thriller,5.3,2019,Director_66,https://via.placeholder.com/300x450.png?text=Film_182
Film_183,Drama,5.3,2008,Director_56,https://via.placeholder.com/300x450.png?text=Film_183
Film_184,Sci-Fi,8.9,2017,Director_54,https://via.placeholder.com/300x450.png?text=Film_184
Film_185,Thriller,5.2,2003,Director_54,https://via.placeholder.com/300x450.png?text=Film_185
Film_186,Thriller,6.5,2008,Director_64,https://via.placeholder.com/300x450.png?text=Film_186
Film_187,Romance,5.7,2009,Director_19,https://via.placeholder.com/300x450.png?text=Film_187
Film_188,Sci-Fi,5.8,2020,Director_19,https://via.placeholder.com/300x450.png?text=Film_188
Film_189,Drama,5.4,2012,Director_6,https://via.placeholder.com/300x450.png?text=Film_189
Film_190,Horror,7.2,2017,Director_53,https://via.placeholder.com/300x450.png?text=Film_190
Film_191,Thriller,8.7,2005,Director_80,https://via.placeholder.com/300x450.png?text=Film_191
Film_192,Romance,7.6,2009,Director_17,https://via.placeholder.com/300x450.png?text=Film_192
Film_193,Comedy,8.2,2010,Director_52,https://via.placeholder.com/300x450.png?text=Film_193
Film_194,Romance,7.1,2023,Director_28,https://via.placeholder.com/300x450.png?text=Film_194
Film_195,Thriller,6.3,1997,Director_72,https://via.placeholder.com/300x450.png?text=Film_195
Film_196,Horror,6.6,2004,Director_59,https://via.placeholder.com/300x450.png?text=Film_196
Film_197,Sci-Fi,5.5,2024,Director_4,https://via.placeholder.com/300x450.png?text=Film_197
Film_198,Thriller,8.1,2023,Director_2,https://via.placeholder.com/300x450.png?text=Film_198
Film_199,Sci-Fi,6.3,2009,Director_24,https://via.placeholder.com/300x450.png?text=Film_199
Film_200,Sci-Fi,5.1,2021,Director_79,https://via.placeholder.com/300x450.png?text=Film_200
Film_201,Action,6.7,1990,Director_36,https://via.placeholder.com/300x450.png?text=Film_201
Film_202,Sci-Fi,5.7,2004,Director_65,https://via.placeholder.com/300x450.png?text=Film_202
Film_203,Sci-Fi,7.8,1997,Director_24,https://via.placeholder.com/300x450.png?text=Film_203
Film_204,Sci-Fi,6.5,2002,Director_27,https://via.placeholder.com/300x450.png?text=Film_204
Film_205,Action,5.2,2017,Director_62,https://via.placeholder.com/300x450.png?text=Film_205
Film_206,Action,7.8,2008,Director_27,https://via.placeholder.com/300x450.png?text=Film_206
Film_207,Action,7.3,2009,Director_44,https://via.placeholder.com/300x450.png?text=Film_207
Film_208,Sci-Fi,7.9,2019,Director_70,https://via.placeholder.com/300x450.png?text=Film_208
Film_209,Horror,8.1,2008,Director_78,https://via.placeholder.com/300x450.png?text=Film_209
Film_210,Comedy,8.0,2000,Director_43,https://via.placeholder.com/300x450.png?text=Film_210
Film_211,Drama,7.6,2000,Director_4,https://via.placeholder.com/300x450.png?text=Film_211
Film_212,Thriller,7.0,2014,Director_59,https://via.placeholder.com/300x450.png?text=Film_212
Film_213,Action,7.1,1999,Director_20,https://via.placeholder.com/300x450.png?text=Film_213
Film_214,Horror,6.4,2009,Director_15,https://via.placeholder.com/300x450.png?text=Film_214
Film_215,Romance,8.0,1990,Director_90,https://via.placeholder.com/300x450.png?text=Film_215
Film_216,Sci-Fi,9.0,1992,Director_86,https://via.placeholder.com/300x450.png?text=Film_216
Film_217,Horror,8.4,2018,Director_35,https://via.placeholder.com/300x450.png?text=Film_217
Film_218,Action,8.3,2011,Director_82,https://via.placeholder.com/300x450.png?text=Film_218
Film_219,Drama,5.3,2020,Director_86,https://via.placeholder.com/300x450.png?text=Film_219
Film_220,Comedy,7.1,2015,Director_57,https://via.placeholder.com/300x450.png?text=Film_220
Film_221,Comedy,5.3,1993,Director_2,https://via.placeholder.com/300x450.png?text=Film_221
Film_222,Thriller,7.2,2000,Director_89,https://via.placeholder.com/300x450.png?text=Film_222
Film_223,Drama,6.1,1996,Director_5,https://via.placeholder.com/300x450.png?text=Film_223
Film_224,Drama,9.0,2012,Director_8,https://via.placeholder.com/300x450.png?text=Film_224
Film_225,Drama,6.8,2019,Director_66,https://via.placeholder.com/300x450.png?text=Film_225
Film_226,Horror,5.6,2002,Director_85,https://via.placeholder.com/300x450.png?text=Film_226
Film_227,Action,8.8,2024,Director_81,https://via.placeholder.com/300x450.png?text=Film_227
Film_228,Romance,8.9,2022,Director_77,https://via.placeholder.com/300x450.png?text=Film_228
Film_229,Comedy,6.0,1996,Director_68,https://via.placeholder.com/300x450.png?text=Film_229
Film_230,Sci-Fi,9.0,2005,Director_45,https://via.placeholder.com/300x450.png?text=Film_230
Film_231,Drama,7.3,1994,Director_15,https://via.placeholder.com/300x450.png?text=Film_231
Film_232,Sci-Fi,7.2,1992,Director_8,https://via.placeholder.com/300x450.png?text=Film_232
Film_233,Sci-Fi,5.9,2009,Director_41,https://via.placeholder.com/300x450.png?text=Film_233
Film_234,Thriller,8.3,2018,Director_61,https://via.placeholder.com/300x450.png?text=Film_234
Film_235,Drama,8.4,1990,Director_87,https://via.placeholder.com/300x450.png?text=Film_235
Film_236,Drama,7.2,1993,Director_22,https://via.placeholder.com/300x450.png?text=Film_236
Film_237,Drama,5.3,2020,Director_57,https://via.placeholder.com/300x450.png?text=Film_237
Film_238,Drama,7.1,1993,Director_67,https://via.placeholder.com/300x450.png?text=Film_238
Film_239,Romance,7.5,2009,Director_17,https://via.placeholder.com/300x450.png?text=Film_239
Film_240,Sci-Fi,8.6,1992,Director_76,https://via.placeholder.com/300x450.png?text=Film_240
Film_241,Drama,7.4,1990,Director_85,https://via.placeholder.com/300x450.png?text=Film_241
Film_242,Action,6.3,2023,Director_55,https://via.placeholder.com/300x450.png?text=Film_242
Film_243,Comedy,6.1,2001,Director_67,https://via.placeholder.com/300x450.png?text=Film_243
Film_244,Horror,8.3,2004,Director_84,https://via.placeholder.com/300x450.png?text=Film_244
Film_245,Action,9.3,1993,Director_50,https://via.placeholder.com/300x450.png?text=Film_245
Film_246,Romance,9.5,2018,Director_55,https://via.placeholder.com/300x450.png?text=Film_246
Film_247,Horror,9.3,2011,Director_88,https://via.placeholder.com/300x450.png?text=Film_247
Film_248,Thriller,8.4,1997,Director_41,https://via.placeholder.com/300x450.png?text=Film_248
Film_249,Romance,5.2,2006,Director_55,https://via.placeholder.com/300x450.png?text=Film_249
Film_250,Sci-Fi,8.3,1999,Director_40,https://via.placeholder.com/300x450.png?text=Film_250
Film_251,Thriller,8.5,2021,Director_40,https://via.placeholder.com/300x450.png?text=Film_251
Film_252,Drama,5.4,2000,Director_82,https://via.placeholder.com/300x450.png?text=Film_252
Film_253,Drama,5.4,1997,Director_63,https://via.placeholder.com/300x450.png?text=Film_253
Film_254,Comedy,7.5,2006,Director_56,https://via.placeholder.com/300x450.png?text=Film_254
Film_255,Comedy,7.0,2019,Director_62,https://via.placeholder.com/300x450.png?text=Film_255
Film_256,Horror,6.1,2024,Director_7,https://via.placeholder.com/300x450.png?text=Film_256
Film_257,Thriller,8.0,1994,Director_90,https://via.placeholder.com/300x450.png?text=Film_257
Film_258,Horror,9.4,2003,Director_30,https://via.placeholder.com/300x450.png?text=Film_258
Film_259,Horror,8.3,1995,Director_4,https://via.placeholder.com/300x450.png?text=Film_259
Film_260,Horror,8.5,2022,Director_96,https://via.placeholder.com/300x450.png?text=Film_260
Film_261,Sci-Fi,9.2,2017,Director_39,https://via.placeholder.com/300x450.png?text=Film_261
Film_262,Thriller,8.8,1991,Director_53,https://via.placeholder.com/300x450.png?text=Film_262
Film_263,Action,5.7,2000,Director_52,https://via.placeholder.com/300x450.png?text=Film_263
Film_264,Action,9.1,2012,Director_41,https://via.placeholder.com/300x450.png?text=Film_264
Film_265,Romance,8.4,2013,Director_27,https://via.placeholder.com/300x450.png?text=Film_265
Film_266,Romance,8.1,2015,Director_78,https://via.placeholder.com/300x450.png?text=Film_266
Film_267,Action,8.6,2001,Director_66,https://via.placeholder.com/300x450.png?text=Film_267
Film_268,Horror,9.3,2004,Director_14,https://via.placeholder.com/300x450.png?text=Film_268
Film_269,Thriller,6.2,2016,Director_84,https://via.placeholder.com/300x450.png?text=Film_269
Film_270,Action,6.0,2004,Director_37,https://via.placeholder.com/300x450.png?text=Film_270
Film_271,Sci-Fi,6.1,2014,Director_92,https://via.placeholder.com/300x450.png?text=Film_271
Film_272,Drama,7.8,2012,Director_90,https://via.placeholder.com/300x450.png?text=Film_272
Film_273,Action,6.1,2012,Director_5,https://via.placeholder.com/300x450.png?text=Film_273
Film_274,Comedy,8.8,2005,Director_9,https://via.placeholder.com/300x450.png?text=Film_274
Film_275,Horror,7.1,2015,Director_47,https://via.placeholder.com/300x450.png?text=Film_275
Film_276,Sci-Fi,6.8,2016,Director_55,https://via.placeholder.com/300x450.png?text=Film_276
Film_277,Horror,9.3,2002,Director_48,https://via.placeholder.com/300x450.png?text=Film_277
Film_278,Action,8.2,2024,Director_79,https://via.placeholder.com/300x450.png?text=Film_278
Film_279,Horror,5.8,2012,Director_33,https://via.placeholder.com/300x450.png?text=Film_279
Film_280,Sci-Fi,5.1,2015,Director_17,https://via.placeholder.com/300x450.png?text=Film_280
Film_281,Horror,8.7,2000,Director_44,https://via.placeholder.com/300x450.png?text=Film_281
Film_282,Sci-Fi,8.9,1999,Director_12,https://via.placeholder.com/300x450.png?text=Film_282
Film_283,Romance,8.4,1999,Director_68,https://via.placeholder.com/300x450.png?text=Film_283
Film_284,Horror,8.6,2017,Director_41,https://via.placeholder.com/300x450.png?text=Film_284
Film_285,Action,9.4,2013,Director_72,https://via.placeholder.com/300x450.png?text=Film_285
Film_286,Action,9.4,2019,Director_6,https://via.placeholder.com/300x450.png?text=Film_286
Film_287,Thriller,9.2,1996,Director_73,https://via.placeholder.com/300x450.png?text=Film_287
Film_288,Drama,5.7,1996,Director_100,https://via.placeholder.com/300x450.png?text=Film_288
Film_289,Action,5.1,1998,Director_5,https://via.placeholder.com/300x450.png?text=Film_289
Film_290,Action,6.8,2014,Director_68,https://via.placeholder.com/300x450.png?text=Film_290
Film_291,Action,6.4,2004,Director_36,https://via.placeholder.com/300x450.png?text=Film_291
Film_292,Romance,6.4,1994,Director_92,https://via.placeholder.com/300x450.png?text=Film_292
Film_293,Action,8.4,2018,Director_17,https://via.placeholder.com/300x450.png?text=Film_293
Film_294,Thriller,5.1,2004,Director_9,https://via.placeholder.com/300x450.png?text=Film_294
Film_295,Comedy,6.4,2017,Director_56,https://via.placeholder.com/300x450.png?text=Film_295
Film_296,Thriller,8.8,1991,Director_47,https://via.placeholder.com/300x450.png?text=Film_296
Film_297,Thriller,8.3,1993,Director_12,https://via.placeholder.com/300x450.png?text=Film_297
Film_298,Action,9.1,2005,Director_86,https://via.placeholder.com/300x450.png?text=Film_298
Film_299,Action,9.3,1991,Director_63,https://via.placeholder.com/300x450.png?text=Film_299
Film_300,Horror,6.5,2005,Director_69,https://via.placeholder.com/300x450.png?text=Film_300
Film_301,Horror,5.1,2007,Director_45,https://via.placeholder.com/300x450.png?text=Film_301
Film_302,Thriller,5.5,2001,Director_69,https://via.placeholder.com/300x450.png?text=Film_302
Film_303,Thriller,7.8,2000,Director_78,https://via.placeholder.com/300x450.png?text=Film_303
Film_304,Horror,5.5,2007,Director_1,https://via.placeholder.com/300x450.png?text=Film_304
